clip	duration[ms]
common_voice_vi_42613936.mp3	3528
common_voice_vi_42010151.mp3	2808
common_voice_vi_41912733.mp3	4716
common_voice_vi_41939062.mp3	3348
common_voice_vi_42613937.mp3	2448
common_voice_vi_42392392.mp3	4500
common_voice_vi_42010154.mp3	3420
common_voice_vi_42392384.mp3	2556
common_voice_vi_41939054.mp3	3060
common_voice_vi_42392390.mp3	3240
common_voice_vi_42392379.mp3	3816
common_voice_vi_41973568.mp3	3996
common_voice_vi_41912737.mp3	4716
common_voice_vi_41939058.mp3	3240
common_voice_vi_42581906.mp3	6840
common_voice_vi_42010161.mp3	5436
common_voice_vi_42392408.mp3	3708
common_voice_vi_42392399.mp3	3708
common_voice_vi_41939059.mp3	3780
common_voice_vi_41912729.mp3	5508
common_voice_vi_42392402.mp3	2700
common_voice_vi_41912731.mp3	3456
common_voice_vi_42392414.mp3	3420
common_voice_vi_42010119.mp3	6156
common_voice_vi_41939057.mp3	4140
common_voice_vi_42392393.mp3	3060
common_voice_vi_41912735.mp3	3600
common_voice_vi_42392389.mp3	3888
common_voice_vi_42392380.mp3	4320
common_voice_vi_42392381.mp3	5076
common_voice_vi_42010158.mp3	2700
common_voice_vi_42392388.mp3	3240
common_voice_vi_41912730.mp3	4248
common_voice_vi_41939056.mp3	3888
common_voice_vi_41922673.mp3	4968
common_voice_vi_42392417.mp3	2016
common_voice_vi_41973570.mp3	3132
common_voice_vi_42010134.mp3	5256
common_voice_vi_42392386.mp3	3096
common_voice_vi_42010159.mp3	2376
common_voice_vi_41922676.mp3	7236
common_voice_vi_42613933.mp3	6156
common_voice_vi_41939063.mp3	3096
common_voice_vi_42010123.mp3	3888
common_voice_vi_41939060.mp3	4536
common_voice_vi_42392401.mp3	2160
common_voice_vi_41922674.mp3	4716
common_voice_vi_42392382.mp3	4248
common_voice_vi_42613934.mp3	2556
common_voice_vi_42392411.mp3	3240
common_voice_vi_42613938.mp3	3780
common_voice_vi_42010156.mp3	2808
common_voice_vi_41973569.mp3	4068
common_voice_vi_42392415.mp3	3996
common_voice_vi_42392405.mp3	3168
common_voice_vi_42392410.mp3	3276
common_voice_vi_42174591.mp3	3060
common_voice_vi_42010137.mp3	2808
common_voice_vi_42392406.mp3	3276
common_voice_vi_42010162.mp3	6156
common_voice_vi_42010138.mp3	4320
common_voice_vi_41922675.mp3	3420
common_voice_vi_42174590.mp3	6048
common_voice_vi_42010120.mp3	6588
common_voice_vi_42010153.mp3	7128
common_voice_vi_42392409.mp3	3240
common_voice_vi_42010121.mp3	3276
common_voice_vi_42010122.mp3	4320
common_voice_vi_41939055.mp3	3240
common_voice_vi_42392383.mp3	4968
common_voice_vi_41912736.mp3	3060
common_voice_vi_41973572.mp3	2268
common_voice_vi_42392391.mp3	3168
common_voice_vi_42010135.mp3	4140
common_voice_vi_42010136.mp3	4068
common_voice_vi_42392385.mp3	4140
common_voice_vi_41922677.mp3	6048
common_voice_vi_42010163.mp3	2700
common_voice_vi_41912728.mp3	3816
common_voice_vi_42581907.mp3	5760
common_voice_vi_42613935.mp3	2700
common_voice_vi_41973571.mp3	2952
common_voice_vi_42392404.mp3	2520
common_voice_vi_42392416.mp3	3168
common_voice_vi_42392413.mp3	3060
common_voice_vi_41912732.mp3	4788
common_voice_vi_42010160.mp3	4788
common_voice_vi_42392407.mp3	3060
common_voice_vi_42392403.mp3	3096
common_voice_vi_42392400.mp3	3888
common_voice_vi_41912734.mp3	4248
common_voice_vi_42392412.mp3	4716
common_voice_vi_41939061.mp3	2448
common_voice_vi_42174592.mp3	6768
common_voice_vi_42392387.mp3	3348
